Player,Position,Game,Stats,Salary,FPPG,Points,GameTime,ScrapedAt,Week,Day
Bo Nix,QB,"DEN 13 @ NYJ 11, Final","174 PASS YD,PASS TD,5 RUSH ATT,24 RUSH YD",$31,16.9,13.36,9:30 AM (1 NFL Game),2025-10-13 13:51:05,6,Sunday
Denver Broncos,DEF,"DEN 13 @ NYJ 11, Final","9 PTS ALLOWED,9 SACK",$16,8.8,13.00,9:30 AM (1 NFL Game),2025-10-13 13:51:05,6,Sunday
Nate Adkins,TE,"DEN 13 @ NYJ 11, Final","2 TGT,2 REC,23 REC YD,REC TD",$10,2.7,9.30,9:30 AM (1 NFL Game),2025-10-13 13:51:05,6,Sunday
New York Jets,DEF,"DEN 13 @ NYJ 11, Final","13 PTS ALLOWED,SACK,SAFETY,FUM REC",$10,3.0,9.00,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
Evan Engram,TE,"DEN 13 @ NYJ 11, Final","RUSH ATT,7 RUSH YD,6 TGT,5 REC,42 REC YD",$13,5.8,7.40,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
Breece Hall,RB,"DEN 13 @ NYJ 11, Final","22 RUSH ATT,59 RUSH YD",$29,10.4,5.90,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
Justin Fields,QB,"DEN 13 @ NYJ 11, Final","45 PASS YD,7 RUSH ATT,31 RUSH YD",$29,18.3,4.90,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
RJ Harvey,RB,"DEN 13 @ NYJ 11, Final","2 RUSH ATT,4 RUSH YD,4 TGT,4 REC,21 REC YD",$17,6.7,4.50,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
J.K. Dobbins,RB,"DEN 13 @ NYJ 11, Final","14 RUSH ATT,40 RUSH YD,TGT",$25,12.3,4.00,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
Josh Reynolds,WR,"DEN 13 @ NYJ 11, Final","3 TGT,3 REC,25 REC YD",$10,3.3,4.00,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
Marvin Mims Jr.,WR,"DEN 13 @ NYJ 11, Final","RUSH ATT,-2 RUSH YD,3 TGT,2 REC,30 REC YD",$17,5.9,3.80,9:30 AM (1 NFL Game),2025-10-13 13:51:06,6,Sunday
